Time [s];Packet ID;Address;Data;Read/Write;ACK/NAK;
1.493.243.960.000.000;129;0x23;0x80;Read;NAK;
1.495.351.080.000.000;130;0x22;0x12;Write;ACK;
1.496.283.640.000.000;130;0x22;0x00;Write;ACK;
1.497.230.200.000.000;130;0x22;0x40;Write;ACK;
1.498.176.800.000.000;130;0x22;0x00;Write;ACK;
1.499.123.360.000.000;130;0x22;0x00;Write;ACK;
1.500.069.920.000.000;130;0x22;0x06;Write;ACK;
1.502.191.760.000.000;131;0x23;0x80;Read;NAK;
1.504.364.960.000.000;132;0x23;0x80;Read;NAK;
1.506.458.200.000.000;133;0x22;0x12;Write;ACK;
1.507.404.760.000.000;133;0x22;0x00;Write;ACK;
1.508.351.320.000.000;133;0x22;0x40;Write;ACK;
1.509.283.920.000.000;133;0x22;0x00;Write;ACK;
1.510.230.480.000.000;133;0x22;0x00;Write;ACK;
1.511.177.080.000.000;133;0x22;0x07;Write;ACK;
1.513.298.840.000.000;134;0x23;0x80;Read;NAK;
1.515.472.160.000.000;135;0x23;0x80;Read;NAK;
1.517.565.440.000.000;136;0x22;0x12;Write;ACK;
1.518.512.040.000.000;136;0x22;0x00;Write;ACK;
1.519.458.600.000.000;136;0x22;0x40;Write;ACK;
1.520.405.200.000.000;136;0x22;0x00;Write;ACK;
1.521.337.840.000.000;136;0x22;0x00;Write;ACK;
1.522.284.400.000.000;136;0x22;0x08;Write;ACK;
1.524.420.240.000.000;137;0x23;0x80;Read;NAK;
1.526.579.680.000.000;138;0x23;0x80;Read;NAK;
1.528.672.960.000.000;139;0x22;0x12;Write;ACK;
1.529.619.520.000.000;139;0x22;0x00;Write;ACK;
1.530.566.080.000.000;139;0x22;0x40;Write;ACK;
1.531.512.640.000.000;139;0x22;0x00;Write;ACK;
1.532.459.200.000.000;139;0x22;0x00;Write;ACK;
1.533.405.720.000.000;139;0x22;0x09;Write;ACK;
1.535.527.520.000.000;140;0x23;0x80;Read;NAK;
1.537.686.760.000.000;141;0x23;0x80;Read;NAK;
1.539.780.000.000.000;142;0x22;0x12;Write;ACK;
1.540.726.520.000.000;142;0x22;0x00;Write;ACK;
1.541.673.080.000.000;142;0x22;0x40;Write;ACK;
1.542.619.640.000.000;142;0x22;0x00;Write;ACK;
1.543.566.160.000.000;142;0x22;0x00;Write;ACK;
1.544.512.680.000.000;142;0x22;0x0A;Write;ACK;
1.546.634.560.000.000;143;0x23;0x80;Read;NAK;
1.548.794.000.000.000;144;0x23;0x80;Read;NAK;
1.550.887.280.000.000;145;0x22;0x12;Write;ACK;
1.551.833.840.000.000;145;0x22;0x00;Write;ACK;
1.552.780.360.000.000;145;0x22;0x40;Write;ACK;
1.553.726.920.000.000;145;0x22;0x00;Write;ACK;
1.554.673.440.000.000;145;0x22;0x00;Write;ACK;
1.555.620.000.000.000;145;0x22;0x0B;Write;ACK;
1.557.741.800.000.000;146;0x23;0x80;Read;NAK;
1.559.901.240.000.000;147;0x23;0x80;Read;NAK;
1.561.994.520.000.000;148;0x22;0x12;Write;ACK;
1.562.941.080.000.000;148;0x22;0x00;Write;ACK;
1.563.887.640.000.000;148;0x22;0x40;Write;ACK;
1.564.834.200.000.000;148;0x22;0x00;Write;ACK;
1.565.780.720.000.000;148;0x22;0x00;Write;ACK;
1.566.727.280.000.000;148;0x22;0x0C;Write;ACK;
1.568.849.160.000.000;149;0x23;0x80;Read;NAK;
1.571.008.400.000.000;150;0x23;0x80;Read;NAK;
1.573.101.640.000.000;151;0x22;0x12;Write;ACK;
1.574.048.200.000.000;151;0x22;0x00;Write;ACK;
1.574.994.760.000.000;151;0x22;0x40;Write;ACK;
1.575.941.360.000.000;151;0x22;0x00;Write;ACK;
1.576.887.920.000.000;151;0x22;0x00;Write;ACK;
1.577.834.520.000.000;151;0x22;0x0D;Write;ACK;
1.579.956.480.000.000;152;0x23;0x80;Read;NAK;
1.582.116.000.000.000;153;0x23;0x80;Read;NAK;
1.584.209.320.000.000;154;0x22;0x12;Write;ACK;
1.585.155.920.000.000;154;0x22;0x00;Write;ACK;
1.586.102.480.000.000;154;0x22;0x40;Write;ACK;
1.587.049.080.000.000;154;0x22;0x00;Write;ACK;
1.587.995.680.000.000;154;0x22;0x00;Write;ACK;
1.588.942.280.000.000;154;0x22;0x0E;Write;ACK;
1.591.064.200.000.000;155;0x23;0x80;Read;NAK;
1.593.223.680.000.000;156;0x23;0x80;Read;NAK;
1.595.317.000.000.000;157;0x22;0x12;Write;ACK;
1.596.263.600.000.000;157;0x22;0x00;Write;ACK;
1.597.210.240.000.000;157;0x22;0x40;Write;ACK;
1.598.156.760.000.000;157;0x22;0x00;Write;ACK;
1.599.103.320.000.000;157;0x22;0x00;Write;ACK;
1.600.049.880.000.000;157;0x22;0x0F;Write;ACK;
1.602.171.720.000.000;158;0x23;0x80;Read;NAK;
1.604.330.960.000.000;159;0x23;0x80;Read;NAK;
1.606.424.280.000.000;160;0x22;0x12;Write;ACK;
1.607.370.880.000.000;160;0x22;0x00;Write;ACK;
1.608.317.400.000.000;160;0x22;0x40;Write;ACK;
1.609.263.960.000.000;160;0x22;0x00;Write;ACK;
1.610.210.520.000.000;160;0x22;0x00;Write;ACK;
1.611.157.120.000.000;160;0x22;0x10;Write;ACK;
1.613.279.040.000.000;161;0x23;0x80;Read;NAK;
1.615.438.440.000.000;162;0x23;0x80;Read;NAK;
1.617.545.560.000.000;163;0x22;0x12;Write;ACK;
1.618.478.160.000.000;163;0x22;0x00;Write;ACK;
1.619.424.720.000.000;163;0x22;0x40;Write;ACK;
1.620.371.240.000.000;163;0x22;0x00;Write;ACK;
1.621.317.760.000.000;163;0x22;0x00;Write;ACK;
1.622.264.320.000.000;163;0x22;0x11;Write;ACK;
1.624.386.200.000.000;164;0x23;0x80;Read;NAK;
1.626.559.640.000.000;165;0x23;0x80;Read;NAK;
1.628.652.920.000.000;166;0x22;0x12;Write;ACK;
1.629.599.520.000.000;166;0x22;0x00;Write;ACK;
1.630.546.120.000.000;166;0x22;0x40;Write;ACK;
1.631.478.800.000.000;166;0x22;0x00;Write;ACK;
1.632.425.400.000.000;166;0x22;0x00;Write;ACK;
1.633.371.960.000.000;166;0x22;0x12;Write;ACK;
1.635.493.880.000.000;167;0x23;0x80;Read;NAK;
1.637.667.080.000.000;168;0x23;0x80;Read;NAK;
1.639.760.360.000.000;169;0x22;0x12;Write;ACK;
1.640.706.920.000.000;169;0x22;0x00;Write;ACK;
1.641.653.480.000.000;169;0x22;0x40;Write;ACK;
1.642.600.080.000.000;169;0x22;0x00;Write;ACK;
1.643.532.720.000.000;169;0x22;0x00;Write;ACK;
1.644.479.320.000.000;169;0x22;0x13;Write;ACK;
1.646.660.320.000.000;170;0x23;0x80;Read;NAK;
1.648.774.480.000.000;171;0x23;0x80;Read;NAK;
1.650.867.840.000.000;172;0x22;0x12;Write;ACK;
1.651.814.440.000.000;172;0x22;0x00;Write;ACK;
1.652.761.080.000.000;172;0x22;0x40;Write;ACK;
1.653.707.680.000.000;172;0x22;0x00;Write;ACK;
1.654.654.240.000.000;172;0x22;0x00;Write;ACK;
1.655.600.840.000.000;172;0x22;0x14;Write;ACK;
1.657.768.120.000.000;173;0x23;0x80;Read;NAK;
1.659.882.280.000.000;174;0x23;0x80;Read;NAK;
1.661.975.640.000.000;175;0x22;0x12;Write;ACK;
1.662.922.240.000.000;175;0x22;0x00;Write;ACK;
1.663.868.840.000.000;175;0x22;0x40;Write;ACK;
1.664.815.440.000.000;175;0x22;0x00;Write;ACK;
1.665.762.080.000.000;175;0x22;0x00;Write;ACK;
1.666.708.680.000.000;175;0x22;0x15;Write;ACK;
1.668.875.760.000.000;176;0x23;0x80;Read;NAK;
1.670.989.920.000.000;177;0x23;0x80;Read;NAK;
1.673.083.160.000.000;178;0x22;0x12;Write;ACK;
1.674.029.760.000.000;178;0x22;0x00;Write;ACK;
1.674.976.320.000.000;178;0x22;0x40;Write;ACK;
1.675.922.920.000.000;178;0x22;0x00;Write;ACK;
